ID,Wahlbeteiligung,CDU,LINKE,SPD,Gruen,AfD,FDP,PMUT,FW,MLPD,Volt
08632,0.837591241,0.295479603,0.017640573,0.240352811,0.130099228,0.090407938,0.145534730,0.019845645,0.007717751,0.000000000,0.003307607
08633,0.637513361,0.235174686,0.050198401,0.320870437,0.084250920,0.103387560,0.081357046,0.036504099,0.002114592,0.000000000,0.001335310
08634,0.585891013,0.216154032,0.068759770,0.332751712,0.078353773,0.109183381,0.066431449,0.027328871,0.007706026,0.001744864,0.006979458
08635,0.530205802,0.153044732,0.047798776,0.338974628,0.088040008,0.121869865,0.081507748,0.038190667,0.010552802,0.000944693,0.000000000
08636,0.573261659,0.230709833,0.047140140,0.319283575,0.073817730,0.119413526,0.062423489,0.041009850,0.007166130,0.001035840,0.000000000
09101,0.866785446,0.043467830,0.215786854,0.169762304,0.423787169,0.027112338,0.031536467,0.019438596,0.002452876,0.000000000,0.010293128
09102,0.783217876,0.075500839,0.240470062,0.203805260,0.285842194,0.065181869,0.028405148,0.027621712,0.003268047,0.000000000,0.005663123
09103,0.791113576,0.061650553,0.212154218,0.181684053,0.353025753,0.061838596,0.029191474,0.016319221,0.005621033,0.000000000,0.009791244
09104,0.863545726,0.061589370,0.161779512,0.194954982,0.424010491,0.031001501,0.045536310,0.022395406,0.007653781,0.000000000,0.005659373
09105,0.816944420,0.076215082,0.211852091,0.196996609,0.330184617,0.055223640,0.032644383,0.027692556,0.009822918,0.000000000,0.006943323
09106,0.833871615,0.059314017,0.206459096,0.163254031,0.394544450,0.034810019,0.042900444,0.023105770,0.006714901,0.000722765,0.008813190
09107,0.772757162,0.037664901,0.193834664,0.176986495,0.399231286,0.061429412,0.047758178,0.023608268,0.005124760,0.000000000,0.004348754
09108,0.802473738,0.046685481,0.184976468,0.162976530,0.416052867,0.046227607,0.041173389,0.028366140,0.009258729,0.000000000,0.002364212
09109,0.830761155,0.064435976,0.211989570,0.169333506,0.374760787,0.022478379,0.058213481,0.011642696,0.006224855,0.001614026,0.010835683
09110,0.772898448,0.088587828,0.160405362,0.202520323,0.354681978,0.049039827,0.063831861,0.017995478,0.006995587,0.000800861,0.006406887
09111,0.766485147,0.034714226,0.244112444,0.128651378,0.404174842,0.036759834,0.049322955,0.020893506,0.007854363,0.003927181,0.007696761
09112,0.848374381,0.064929188,0.191001475,0.182099925,0.381636598,0.044945485,0.047606926,0.020786445,0.012733432,0.001330720,0.006011139
09113,0.883216505,0.075998391,0.176290960,0.190473230,0.377416130,0.046305100,0.056147601,0.019165691,0.012977862,0.001245855,0.006810757
09114,0.782139878,0.091853097,0.188516806,0.234303240,0.249529058,0.089953762,0.031183348,0.019616085,0.016222191,0.000000000,0.001696947
09115,0.661930814,0.140204271,0.185288352,0.272490457,0.132002476,0.140539565,0.035489529,0.018105850,0.015294542,0.000000000,0.002811307
09116,0.699748142,0.115842212,0.182270047,0.246589377,0.146359358,0.146081749,0.050617349,0.037741586,0.011025038,0.001830897,0.006457711
09117,0.703319959,0.080586464,0.222949608,0.214973926,0.146887811,0.152974149,0.066343177,0.037438300,0.005751694,0.000000000,0.004775649
09118,0.657572357,0.070709339,0.221180892,0.230313541,0.186816012,0.106841066,0.041970005,0.043550713,0.019686459,0.000000000,0.008249226
09119,0.730532975,0.099438785,0.218614412,0.203004150,0.173446048,0.126403037,0.066544048,0.036184211,0.010681947,0.001638842,0.002464158
09120,0.775937019,0.096350644,0.254702054,0.195329846,0.172336353,0.099094041,0.080515503,0.053068776,0.004402195,0.000000000,0.000880439
09121,0.769673544,0.064849051,0.226746092,0.169334344,0.324886766,0.060809644,0.064207540,0.026432386,0.007113022,0.000704958,0.008522938
09122,0.817403868,0.058907563,0.218491024,0.183500124,0.313493221,0.073706437,0.052030462,0.020631305,0.010668183,0.002281293,0.009191618
09123,0.673871207,0.108482270,0.182297872,0.273758865,0.124425532,0.133219858,0.053049645,0.031092199,0.020255319,0.000000000,0.006581560
09124,0.646931648,0.093133075,0.196956778,0.239981636,0.138978160,0.143503640,0.069062766,0.028333443,0.020659802,0.000000000,0.010756214
09125,0.751787266,0.105478688,0.215446655,0.303892361,0.097060211,0.138448183,0.042417662,0.033803157,0.008642510,0.001449753,0.003610380
09126,0.778375683,0.072389405,0.186235890,0.170510481,0.293456425,0.091984441,0.069868760,0.040956543,0.007079352,0.001425298,0.007032216
09127,0.708795108,0.100091884,0.189676591,0.225470664,0.205782147,0.094315780,0.063535367,0.026466997,0.015353773,0.001357829,0.007718652
09128,0.773427150,0.127751599,0.213364539,0.311362147,0.086877828,0.122513133,0.044441671,0.035959848,0.016855464,0.001400114,0.002113694
09129,0.760271542,0.110716925,0.168880527,0.248457532,0.206235158,0.092806359,0.060430671,0.035180827,0.004552074,0.000000000,0.002898405
09130,0.788949004,0.098048884,0.188486262,0.220699154,0.196252266,0.115387207,0.058543344,0.040838498,0.015126039,0.004076125,0.006191437
09131,0.764923983,0.087832980,0.199818919,0.245513668,0.195880712,0.097487654,0.053809351,0.037525409,0.006482805,0.000000000,0.004007740
09132,0.788453984,0.213772412,0.095289425,0.253134993,0.149240056,0.107685674,0.098253746,0.024271496,0.009431928,0.000000000,0.010851209
09133,0.807583244,0.227625055,0.116315195,0.235187975,0.123846733,0.128365656,0.093391075,0.023285006,0.010826586,0.000000000,0.001961338
09134,0.777500484,0.074255305,0.181956442,0.198807641,0.310902099,0.079717198,0.053711707,0.030676534,0.003414675,0.000000000,0.003470220
