ID;Wahlbeteil;displayValue
04101;0,697151638;0,445225704
04102;0,632726789;0,327208720
04103;0,763401056;0,566585033
04104;0,652826886;0,364029183
04105;0,638558559;0,337891677
04106;0,719546095;0,486249102
04107;0,655361646;0,368672496
04108;0,722659668;0,491952717
04109;0,645986231;0,351498095
04110;0,706879826;0,463046334
04111;0,698783276;0,448214628
04112;0,762499525;0,564933559
04113;0,812089319;0,655774873
04114;0,800750734;0,635004229
04115;0,836938907;0,701295716
04116;0,860688551;0,744801621
04117;0,816395149;0,663662529
04118;0,790401225;0,616045429
04119;0,839003827;0,705078350
04201;0,876573348;0,773900266
04202;0,845438047;0,716864908
04203;0,785377214;0,606842169
04204;0,764437199;0,568483097
04205;0,877100529;0,774865985
04206;0,814909566;0,660941157
04207;0,801570307;0,636505568
04208;0,836152189;0,699854563
04209;0,860880451;0,745153154
04210;0,869094176;0,760199507
04211;0,87181257;0,765179211
04212;0,873248807;0,767810189
04214;0,777777778;0,592921104
04215;0,784682988;0,605570448
04216;0,823023031;0,675803848
04217;0,873251699;0,767815487
04218;0,847273317;0,720226857
04219;0,829011913;0,686774612
04220;0,890873058;0,800095262
04221;0,821958816;0,673854361
04222;0,82191668;0,673777174
