ID,Wahlbeteiligung,SPD,Gruen,CDU,LINKE,AfD,FDP,PMUT,FW,Volt,MLPD,BSW
07519,0.748476936,0.176470588,0.121176471,0.254117647,0.144705882,0.150588235,0.034117647,0.027058824,0.001176471,0.003529412,0.000000000,0.075294118
07520,0.742537779,0.172324291,0.133694645,0.257938521,0.158512111,0.124943643,0.045912233,0.012686605,0.003641293,0.009842138,0.000000000,0.065427437
07521,0.800166849,0.159446024,0.117578666,0.272884349,0.123382174,0.158945527,0.046543342,0.019260671,0.004251407,0.009630336,0.000000000,0.063936994
07525,0.836640834,0.174648740,0.135874070,0.312370010,0.098715224,0.138729411,0.045614267,0.018393178,0.001294184,0.009012250,0.000000000,0.057399224
07707,0.867690716,0.160252417,0.129779193,0.359148381,0.061864950,0.146362637,0.072009712,0.019453479,0.003442668,0.004379495,0.000000000,0.036259105
07713,0.805005276,0.155962086,0.097854220,0.332233137,0.080031308,0.170211129,0.047181964,0.025746712,0.005404581,0.009593993,0.000000000,0.061359370
07705,0.810099998,0.171260210,0.112613769,0.333152192,0.066616103,0.176457743,0.050981830,0.017424571,0.004979163,0.009159860,0.003585598,0.046699450
07710,0.781854368,0.166992009,0.096511337,0.312580339,0.086662466,0.190546041,0.038553061,0.022984448,0.004174132,0.003525792,0.001127916,0.063962107
07718,0.884991625,0.165523810,0.195085714,0.302323810,0.086514286,0.126552381,0.067009524,0.007657143,0.001066667,0.006361905,0.000952381,0.032571429
07719,0.849735983,0.163130128,0.167178711,0.347188385,0.071143546,0.134243667,0.055432894,0.008773423,0.002942388,0.004886066,0.000000000,0.034256207
07726,0.832309016,0.176612956,0.106018541,0.348165094,0.065777857,0.153730717,0.063196361,0.012897901,0.002493690,0.005416831,0.000000000,0.048663673
07408,0.728442405,0.186414682,0.153617330,0.115893040,0.285236014,0.112670253,0.042873414,0.013415334,0.004083490,0.010986380,0.000000000,0.067907173
07514,0.719452267,0.178298392,0.153610649,0.199214642,0.185526345,0.140769828,0.029887965,0.010981697,0.003704936,0.011829174,0.000000000,0.059012757
07108,0.843848631,0.160010679,0.286444205,0.159224498,0.218817897,0.064562711,0.042579145,0.006541674,0.000585579,0.010841332,0.000000000,0.035451892
07109,0.868377554,0.184050889,0.312150285,0.140311723,0.191087689,0.061520780,0.042271653,0.009195933,0.000626236,0.007366627,0.000000000,0.038464836
07112,0.765880218,0.186379928,0.240143369,0.075268817,0.330943847,0.052568698,0.013142174,0.009557945,0.001194743,0.011947431,0.000000000,0.059737157
07114,0.848868778,0.186495177,0.280814577,0.209003215,0.147909968,0.043944266,0.064308682,0.010718114,0.000000000,0.012861736,0.000000000,0.039657020
07116,0.873693604,0.165921495,0.325772835,0.130375188,0.206776904,0.047129208,0.048864098,0.009770992,0.002197005,0.009925030,0.000000000,0.046676231
07122,0.866912709,0.195063089,0.274524807,0.197204922,0.182637169,0.054609877,0.040231351,0.006927361,0.004023135,0.004689544,0.000000000,0.032637581
07123,0.891504018,0.181338753,0.307324378,0.142111395,0.199635165,0.056253008,0.038505361,0.011550794,0.003106565,0.007362977,0.000000000,0.038428627
07126,0.828050513,0.144407991,0.300498401,0.126074635,0.280486954,0.050532606,0.032726968,0.006843597,0.000000000,0.004386492,0.001228553,0.041407810
07127,0.857993197,0.172962227,0.292246521,0.180914513,0.169980119,0.061630219,0.046719682,0.007952286,0.000994036,0.010934394,0.000994036,0.047713718
07128,0.858490566,0.189000000,0.235000000,0.185000000,0.185000000,0.077000000,0.051000000,0.018000000,0.001000000,0.014000000,0.003000000,0.033000000
07129,0.824129142,0.188541667,0.222916667,0.196875000,0.190625000,0.075000000,0.036458333,0.018750000,0.002083333,0.011458333,0.001041667,0.047916667
03100,0.820531228,0.134564644,0.181178540,0.173262973,0.167985928,0.164467898,0.031662269,0.014951627,0.005277045,0.016710642,0.000000000,0.093227792
03101,0.812111444,0.116119774,0.130053332,0.173451940,0.178184668,0.228687457,0.027124130,0.029180068,0.007175426,0.008691935,0.000000000,0.091102471
03102,0.866203940,0.121735433,0.137776255,0.195974439,0.159463258,0.186749194,0.038909035,0.019820692,0.004795710,0.007807794,0.001193021,0.113785894
03103,0.650753953,0.145228361,0.075121048,0.159249824,0.173611201,0.268997789,0.025552684,0.022511929,0.003323401,0.006517486,0.001843665,0.105242254
03104,0.704103289,0.133863852,0.055960250,0.144593588,0.168207024,0.307031357,0.013216888,0.034694332,0.007619066,0.007249933,0.000641489,0.108204287
03105,0.795292455,0.153425241,0.042170299,0.170374805,0.187823282,0.260413801,0.014223071,0.018144259,0.002459507,0.005115883,0.000000000,0.133889419
